Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Females,3.489,3.374,3.604,,18620,,184590,10.1,9.8,10.4,,10,9.7,10.3,,7.14,6.858,7.422,,71.335,70.389,72.281,,8.224,7.903,8.544,,0.38,0.364,0.395,,13284,12759,13808,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Southeast Asian (incl. Filipino) ,Females,1.216,1.14,1.293,,5090,,143950,3.5,3.3,3.7,,3.5,3.3,3.7,,0.621,0.403,0.838,,17.785,12.626,22.945,,0.56,0.364,0.757,,0.026,0.017,0.035,,905,588,1222,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,South Asian ,Females,1.67,1.596,1.743,,13525,,281085,4.8,4.6,5,,4.8,4.6,5,,1.922,1.722,2.122,,40.112,37.48,42.744,,3.359,3.007,3.712,,0.155,0.139,0.171,,5426,4858,5994,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Arab ,Females,3.911,3.743,4.079,,11775,,104690,11.2,10.8,11.7,,11.2,10.8,11.7,,8.352,7.896,8.808,,74.431,73.33,75.531,,5.426,5.14,5.711,,0.25,0.237,0.264,,8764,8279,9249,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,West Asian,Females,3.417,3.162,3.672,,3485,,35585,9.8,9.1,10.5,,9.8,9.1,10.5,,6.935,6.235,7.635,,70.735,68.551,72.919,,1.528,1.362,1.695,,0.071,0.063,0.078,,2468,2204,2733,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Latin American ,Females,3.491,3.303,3.679,,5115,,51440,10,9.4,10.5,,10,9.5,10.6,,7.147,6.613,7.681,,71.355,69.808,72.902,,2.261,2.093,2.429,,0.104,0.096,0.112,,3652,3375,3929,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Multiple origins,Females,1.759,1.586,1.933,,3135,,62950,5,4.5,5.4,,5,4.6,5.5,,2.179,1.693,2.665,,43.165,37.556,48.774,,0.838,0.651,1.024,,0.039,0.03,0.047,,1353,1051,1655,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Origins responses not included elsewhere,Females,2.236,1.953,2.519,,1175,,18285,6.4,5.6,7.2,,6.4,5.6,7.2,,3.547,2.737,4.356,,55.279,49.626,60.933,,0.401,0.308,0.494,,0.018,0.014,0.023,,647,498,797,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Total - Not white,Females,2.539,2.485,2.593,,100785,,1.38318e+006,7.3,7.2,7.4,,7.3,7.2,7.4,,4.415,4.314,4.516,,60.611,59.77,61.451,,37.817,36.986,38.647,,1.745,1.705,1.786,,61084,59669,62500,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,White [reference],Females,1,,,,60750,,2.11688e+006,2.9,2.8,2.9,,2.9,2.8,2.9,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Recent immigrant (?10 years) ,Both sexes,3.368,3.288,3.447,,45650,,445440,10.2,10,10.5,,12.4,12.2,12.7,,8.75,8.478,9.022,,70.305,69.606,71.004,,9.651,9.369,9.933,,0.446,0.432,0.459,,32095,31141,33049,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Long-term immigrant (>10 years),Both sexes,0.64,0.596,0.685,,4560,,87710,5.2,4.9,5.5,,2.4,2.2,2.5,,-1.329,-1.496,-1.162,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Non-permanent resident,Both sexes,9.564,9.362,9.766,,39410,,110510,35.7,35,36.4,,35.3,34.7,36,,31.649,30.977,32.322,,89.544,89.325,89.764,,10.612,10.356,10.868,,0.49,0.478,0.502,,35292,34401,36182,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Non-immigrant [reference],Both sexes,1,,,,242940,,6.55788e+006,3.7,3.7,3.7,,3.7,3.7,3.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Recent immigrant (?10 years) ,Males,3.334,3.223,3.445,,23680,,229695,10.3,10,10.6,,12.3,11.9,12.7,,8.603,8.221,8.984,,70.006,69.013,71,,9.691,9.305,10.077,,0.448,0.429,0.466,,16575,15897,17253,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Long-term immigrant (>10 years),Males,0.647,0.586,0.708,,2365,,45370,5.2,4.8,5.6,,2.4,2.2,2.6,,-1.301,-1.527,-1.075,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Non-permanent resident,Males,9.663,9.396,9.93,,20505,,57040,35.9,35.1,36.8,,35.6,34.7,36.5,,31.928,31.042,32.813,,89.651,89.366,89.936,,10.748,10.439,11.057,,0.497,0.482,0.512,,18383,17830,18935,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Non-immigrant [reference],Males,1,,,,124490,,3.36938e+006,3.7,3.7,3.7,,3.7,3.6,3.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Recent immigrant (?10 years) ,Females,3.402,3.29,3.513,,21975,,215745,10.2,9.9,10.5,,12.6,12.2,13,,8.902,8.518,9.285,,70.604,69.639,71.569,,9.605,9.236,9.975,,0.443,0.426,0.46,,15516,14923,16108,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Long-term immigrant (>10 years),Females,0.633,0.574,0.692,,2195,,42340,5.2,4.8,5.6,,2.3,2.1,2.6,,-1.359,-1.579,-1.139,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Non-permanent resident,Females,9.459,9.204,9.714,,18910,,53470,35.4,34.5,36.2,,35.1,34.2,35.9,,31.35,30.481,32.22,,89.428,89.144,89.712,,10.468,10.122,10.814,,0.483,0.466,0.5,,16909,16313,17505,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status,Non-immigrant [reference],Females,1,,,,118445,,3.1885e+006,3.7,3.7,3.8,,3.7,3.7,3.8,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, Black",Both sexes,4.832,4.553,5.111,,9085,,83070,10.9,10.4,11.5,,12.9,12.2,13.6,,10.228,9.513,10.944,,79.305,78.107,80.503,,2.167,2.024,2.311,,0.1,0.093,0.107,,7208,6731,7684,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, East/Southeast Asian",Both sexes,4.951,4.659,5.243,,10450,,98625,10.6,10.1,11,,13.2,12.5,14,,10.546,9.797,11.294,,79.802,78.598,81.005,,2.507,2.367,2.648,,0.116,0.109,0.122,,8339,7871,8806,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, Arab/South/West Asian",Both sexes,4.713,4.527,4.899,,18020,,167340,10.8,10.4,11.1,,12.6,12.1,13,,9.91,9.465,10.355,,78.782,77.95,79.613,,4.268,4.08,4.457,,0.197,0.188,0.206,,14194,13563,14825,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, Latin American/Other/Multiple origins",Both sexes,4.403,3.887,4.918,,2715,,27800,9.8,8.9,10.6,,11.8,10.4,13.1,,9.082,7.692,10.472,,77.286,74.586,79.986,,0.631,0.558,0.704,,0.029,0.026,0.033,,2099,1853,2345,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, White",Both sexes,4.001,3.726,4.276,,5360,,68425,7.8,7.4,8.3,,10.7,9.9,11.4,,8.01,7.283,8.738,,75.007,73.287,76.727,,1.21,1.114,1.306,,0.056,0.051,0.06,,4023,3704,4343,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, Black",Both sexes,0.82,0.675,0.966,,575,,11545,5,4.1,5.9,,2.2,1.8,2.6,,-0.48,-0.869,-0.091,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, East/Southeast Asian",Both sexes,1.329,1.183,1.476,,1665,,20800,8,7.3,8.7,,3.5,3.2,3.9,,0.879,0.493,1.265,,24.78,16.519,33.042,,0.124,0.072,0.176,,0.006,0.003,0.008,,411,239,584,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, Arab/South/West Asian",Both sexes,0.865,0.758,0.972,,1565,,31815,4.9,4.4,5.5,,2.3,2,2.6,,-0.361,-0.646,-0.076,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, Latin American/Other/Multiple origins",Both sexes,0.664,0.424,0.903,E,255,,6605,3.9,2.9,4.9,,1.8,1.1,2.4,E,-0.898,-1.537,-0.259,E,,,,E,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, White",Both sexes,0.514,0.406,0.622,,505,,16885,3,2.4,3.5,,1.4,1.1,1.7,,-1.297,-1.589,-1.006,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, Black",Both sexes,12.4,11.686,13.113,,6390,,19785,32.3,30.6,34.1,,33.1,31.3,34.9,,30.427,28.664,32.19,,91.935,91.474,92.396,,1.767,1.633,1.901,,0.082,0.075,0.088,,5875,5432,6319,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, East/Southeast Asian",Both sexes,16.677,16.008,17.346,,13005,,26875,48.4,47.1,49.7,,44.5,42.9,46.1,,41.845,40.262,43.428,,94.004,93.766,94.242,,3.676,3.543,3.809,,0.17,0.163,0.176,,12225,11773,12678,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, Arab/South/West Asian",Both sexes,12.404,11.882,12.926,,9050,,27605,32.8,31.5,34.1,,33.1,31.8,34.4,,30.438,29.162,31.714,,91.938,91.599,92.277,,2.502,2.369,2.636,,0.116,0.109,0.122,,8322,7874,8769,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, Latin American/Other/Multiple origins",Both sexes,13.77,12.932,14.607,,5820,,15965,36.5,34.4,38.5,,36.8,34.6,38.9,,34.084,31.96,36.209,,92.738,92.295,93.181,,1.623,1.508,1.739,,0.075,0.07,0.08,,5399,5015,5783,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, White",Both sexes,9.784,9.244,10.323,,5095,,20135,25.3,23.9,26.6,,26.1,24.7,27.5,,23.445,22.072,24.818,,89.779,89.221,90.337,,1.375,1.28,1.469,,0.063,0.059,0.068,,4571,4250,4893,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, Black",Both sexes,2.282,2.198,2.366,,22750,,361095,6.3,6.1,6.5,,6.1,5.9,6.3,,3.422,3.219,3.625,,56.182,54.561,57.802,,3.843,3.615,4.071,,0.177,0.167,0.188,,12779,12030,13529,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, East/Southeast Asian",Both sexes,1.759,1.704,1.814,,24890,,531550,4.7,4.6,4.8,,4.7,4.6,4.8,,2.025,1.896,2.155,,43.143,41.369,44.917,,3.229,3.023,3.434,,0.149,0.14,0.159,,10738,10055,11421,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, Arab/South/West Asian",Both sexes,1.722,1.668,1.777,,30290,,641545,4.7,4.6,4.8,,4.6,4.5,4.7,,1.928,1.797,2.058,,41.934,40.096,43.772,,3.819,3.561,4.077,,0.176,0.165,0.188,,12700,11848,13553,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, Latin American/Other/Multiple origins",Both sexes,1.875,1.783,1.968,,11085,,218310,5.1,4.8,5.3,,5,4.8,5.2,,2.336,2.098,2.574,,46.671,44.02,49.322,,1.556,1.397,1.716,,0.072,0.065,0.079,,5175,4646,5705,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, White [reference]",Both sexes,1,,,,113775,,4.26222e+006,2.7,2.6,2.7,,2.7,2.6,2.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, Total non-White",Both sexes,4.784,4.648,4.92,,40285,,377020,10.7,10.5,10.9,,12.8,12.5,13.1,,10.1,9.802,10.398,,79.097,78.506,79.689,,9.582,9.325,9.839,,0.442,0.43,0.455,,31866,30996,32737,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, Total non-White",Both sexes,0.973,0.901,1.046,,4060,,70825,5.7,5.4,6.1,,2.6,2.4,2.8,,-0.071,-0.265,0.124,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, Total non-White",Both sexes,14.011,13.627,14.394,,34325,,90375,38,37.2,38.7,,37.4,36.6,38.1,,34.727,33.968,35.487,,92.863,92.668,93.057,,9.584,9.335,9.832,,0.443,0.431,0.454,,31871,31024,32718,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, Total non-White",Both sexes,2.087,2.041,2.133,,129160,,2.29566e+006,5.6,5.6,5.7,,5.6,5.5,5.6,,2.901,2.814,2.988,,52.083,51.039,53.127,,20.228,19.617,20.84,,0.934,0.906,0.962,,67271,65240,69302,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, Black",Males,4.698,4.336,5.06,,4545,,42070,10.8,10,11.6,,12.5,11.6,13.4,,9.834,8.906,10.763,,78.713,77.079,80.347,,2.094,1.901,2.287,,0.097,0.088,0.106,,3581,3249,3913,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, East/Southeast Asian",Males,5.074,4.693,5.456,,5575,,51005,10.9,10.3,11.5,,13.5,12.5,14.5,,10.835,9.854,11.816,,80.292,78.807,81.777,,2.619,2.438,2.801,,0.121,0.113,0.13,,4480,4165,4795,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, Arab/South/West Asian",Males,4.609,4.382,4.836,,9280,,86840,10.7,10.2,11.1,,12.3,11.7,12.8,,9.598,9.053,10.143,,78.303,77.245,79.361,,4.25,4.008,4.492,,0.196,0.185,0.207,,7269,6858,7680,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, Latin American/Other/Multiple origins",Males,4.522,3.852,5.192,,1455,,14130,10.3,9.2,11.4,,12,10.2,13.8,,9.366,7.565,11.168,,77.885,74.576,81.195,,0.662,0.57,0.754,,0.031,0.026,0.035,,1133,973,1292,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, White",Males,4.04,3.666,4.413,,2795,,35525,7.9,7.3,8.4,,10.7,9.8,11.7,,8.084,7.118,9.05,,75.246,72.934,77.559,,1.23,1.111,1.35,,0.057,0.051,0.062,,2104,1901,2308,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, Black",Males,1.054,0.827,1.282,,335,,5805,5.8,4.6,7,,2.8,2.2,3.4,,0.144,-0.46,0.749,,5.153,-15.693,25.999,,0.01,-0.033,0.053,,0,-0.002,0.002,,17,-56,90,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, East/Southeast Asian",Males,1.382,1.184,1.58,,860,,10505,8.2,7.3,9.2,,3.7,3.2,4.2,,1.016,0.495,1.536,,27.642,17.172,38.111,,0.14,0.072,0.208,,0.006,0.003,0.01,,239,123,354,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, Arab/South/West Asian",Males,0.852,0.714,0.991,,790,,16720,4.7,4.1,5.4,,2.3,1.9,2.6,,-0.393,-0.762,-0.025,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, Latin American/Other/Multiple origins",Males,0.508,0.278,0.738,,115,E,3355,3.6,2.4,4.8,,1.4,0.7,2,,-1.308,-1.921,-0.696,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, White",Males,0.42,0.293,0.546,,250,,8960,2.8,2.1,3.5,,1.1,0.8,1.4,,-1.543,-1.884,-1.202,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, Black",Males,12.353,11.536,13.17,,3330,,10275,32.4,30.5,34.3,,32.9,30.9,34.8,,30.194,28.222,32.165,,91.905,91.368,92.442,,1.788,1.64,1.936,,0.083,0.076,0.089,,3058,2807,3310,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, East/Southeast Asian",Males,17.289,16.385,18.193,,6820,,13700,49.8,48,51.5,,46,43.9,48.1,,43.321,41.206,45.436,,94.216,93.918,94.514,,3.755,3.587,3.922,,0.173,0.166,0.181,,6422,6130,6713,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, Arab/South/West Asian",Males,12.203,11.514,12.892,,4705,,14585,32.3,30.5,34,,32.5,30.7,34.2,,29.795,28.034,31.556,,91.805,91.345,92.265,,2.526,2.344,2.707,,0.117,0.108,0.125,,4319,4003,4636,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, Latin American/Other/Multiple origins",Males,14.812,13.703,15.921,,3110,,8020,38.8,36,41.5,,39.4,36.6,42.2,,36.733,33.948,39.518,,93.249,92.747,93.75,,1.697,1.54,1.853,,0.078,0.071,0.086,,2902,2636,3168,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, White",Males,9.44,8.762,10.118,,2520,,10415,24.2,22.5,25.9,,25.1,23.4,26.8,,22.446,20.712,24.18,,89.407,88.653,90.16,,1.319,1.207,1.432,,0.061,0.056,0.066,,2257,2060,2453,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, Black",Males,2.268,2.17,2.366,,11450,,182655,6.3,6,6.5,,6,5.8,6.3,,3.373,3.14,3.605,,55.912,54.01,57.814,,3.743,3.484,4.003,,0.173,0.161,0.185,,6402,5964,6840,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, East/Southeast Asian",Males,1.796,1.728,1.864,,13030,,274110,4.8,4.6,4.9,,4.8,4.6,4.9,,2.117,1.957,2.276,,44.317,42.221,46.412,,3.377,3.124,3.63,,0.156,0.144,0.168,,5776,5344,6208,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, Arab/South/West Asian",Males,1.708,1.642,1.774,,15340,,328815,4.7,4.5,4.8,,4.5,4.4,4.7,,1.883,1.725,2.041,,41.456,39.187,43.726,,3.719,3.408,4.03,,0.172,0.158,0.186,,6361,5834,6887,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, Latin American/Other/Multiple origins",Males,1.933,1.821,2.046,,5770,,110500,5.2,4.9,5.5,,5.1,4.9,5.4,,2.482,2.197,2.766,,48.269,45.261,51.278,,1.629,1.438,1.821,,0.075,0.066,0.084,,2787,2461,3113,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, White [reference]",Males,1,,,,58415,,2.19589e+006,2.7,2.6,2.7,,2.7,2.6,2.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Recent immigrant, Total non-White",Males,4.729,4.554,4.904,,20875,,194170,10.8,10.4,11.1,,12.6,12.2,13,,9.917,9.518,10.317,,78.854,78.077,79.631,,9.627,9.272,9.982,,0.445,0.428,0.462,,16464,15838,17091,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Long-term immigrant, Total non-White",Males,1.009,0.906,1.113,,2115,,36405,5.8,5.3,6.3,,2.7,2.4,2.9,,0.024,-0.25,0.299,,0.912,-9.292,11.117,,0.011,-0.115,0.138,,0.001,-0.005,0.006,,19,-197,235,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-permanent resident, Total non-White",Males,14.259,13.743,14.774,,17985,,46625,38.6,37.6,39.5,,37.9,36.9,38.9,,35.262,34.228,36.295,,92.987,92.735,93.238,,9.776,9.47,10.081,,0.452,0.437,0.466,,16720,16186,17253,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Immigrant status by cultural/racial background,"Non-immigrant, Total non-White",Males,2.095,2.039,2.151,,66065,,1.17349e+006,5.6,5.5,5.7,,5.6,5.5,5.7,,2.913,2.806,3.019,,52.274,51,53.547,,20.193,19.448,20.938,,0.933,0.899,0.967,,34536,33279,35792,,Census 2021
