Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Total - Not white,Both sexes,2.569,2.521,2.617,,207825,,2.83388e+006,7.3,7.3,7.4,,7.3,7.3,7.4,,4.478,4.393,4.563,,61.069,60.344,61.794,,38.164,37.441,38.886,,1.762,1.729,1.796,,126916,124486,129345,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,White [reference],Both sexes,1,,,,124735,,4.36767e+006,2.9,2.8,2.9,,2.9,2.8,2.9,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,First Nations/Inuit/Métis,Males,2.603,2.51,2.695,,20505,,277615,7.4,7.2,7.6,,7.4,7.2,7.6,,4.553,4.331,4.775,,61.576,60.214,62.938,,7.381,7.014,7.748,,0.341,0.324,0.358,,12624,11995,13253,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Black ,Males,2.857,2.759,2.955,,19670,,240795,8.2,7.9,8.4,,8.1,7.9,8.3,,5.276,5.045,5.508,,65.001,63.807,66.195,,7.474,7.143,7.805,,0.345,0.33,0.36,,12783,12223,13343,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Males,3.726,3.613,3.838,,20770,,195475,10.6,10.4,10.9,,10.6,10.3,10.8,,7.744,7.492,7.995,,73.159,72.348,73.97,,8.883,8.581,9.184,,0.41,0.396,0.424,,15192,14677,15707,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Southeast Asian (incl. Filipino) ,Males,1.246,1.168,1.324,,5525,,153845,3.6,3.4,3.8,,3.5,3.3,3.7,,0.699,0.483,0.915,,19.752,14.73,24.774,,0.638,0.442,0.834,,0.029,0.02,0.039,,1092,756,1427,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,South Asian ,Males,1.683,1.614,1.753,,14325,,298325,4.8,4.6,5,,4.8,4.6,5,,1.941,1.758,2.124,,40.587,38.136,43.037,,3.4,3.076,3.724,,0.157,0.142,0.172,,5815,5267,6364,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Arab ,Males,3.82,3.652,3.989,,12010,,110490,10.9,10.4,11.3,,10.9,10.4,11.3,,8.013,7.578,8.449,,73.825,72.666,74.985,,5.183,4.901,5.465,,0.239,0.226,0.253,,8865,8375,9355,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,West Asian,Males,3.498,3.229,3.766,,3785,,38145,9.9,9.2,10.7,,9.9,9.2,10.7,,7.096,6.357,7.835,,71.41,69.225,73.594,,1.582,1.41,1.754,,0.073,0.065,0.081,,2706,2413,2998,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Latin American ,Males,3.926,3.676,4.175,,5865,,52945,11.1,10.4,11.7,,11.2,10.5,11.8,,8.313,7.647,8.978,,74.528,72.898,76.157,,2.555,2.337,2.772,,0.118,0.108,0.128,,4369,3999,4740,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Multiple origins,Males,1.919,1.766,2.072,,3465,,64435,5.4,5,5.8,,5.5,5,5.9,,2.611,2.181,3.04,,47.886,43.732,52.039,,0.97,0.81,1.13,,0.045,0.037,0.052,,1659,1384,1933,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Origins responses not included elsewhere,Males,2.132,1.848,2.416,,1135,,18635,6.1,5.3,6.9,,6.1,5.3,6.9,,3.217,2.419,4.014,,53.099,46.714,59.484,,0.351,0.263,0.44,,0.016,0.012,0.02,,601,450,752,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Total - Not white,Males,2.597,2.536,2.658,,107040,,1.45069e+006,7.4,7.3,7.5,,7.4,7.3,7.5,,4.537,4.43,4.644,,61.494,60.601,62.387,,38.487,37.596,39.378,,1.778,1.737,1.82,,65825,64296,67353,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,White [reference],Males,1,,,,63985,,2.2508e+006,2.8,2.8,2.9,,2.8,2.8,2.9,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,First Nations/Inuit/Métis,Females,2.587,2.5,2.674,,19720,,265925,7.4,7.2,7.6,,7.4,7.2,7.6,,4.553,4.337,4.77,,61.345,60.045,62.646,,7.488,7.138,7.838,,0.346,0.329,0.362,,12095,11527,12663,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Black ,Females,2.825,2.712,2.939,,19135,,234695,8.2,7.9,8.4,,8.1,7.8,8.4,,5.237,4.953,5.521,,64.604,63.181,66.026,,7.654,7.235,8.073,,0.353,0.334,0.372,,12364,11699,13029,,Census 2021
