model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
169,ksqexp,1,8,0.5,0.01,-55.01312242368158,-44.99473259642334
170,ksqexp,1,8,0.5,0,-55.1159120080958,-45.01277122425781
171,ksqexp,1,8,1,0.5,-50.529229546121634,-56.36640973843376
172,ksqexp,1,8,1,0.1,-46.69619146779806,-50.3950048271172
173,ksqexp,1,8,1,0.05,-47.5848023570244,-50.36989408947365
174,ksqexp,1,8,1,0.01,-47.93809973566397,-50.37435011768793
175,ksqexp,1,8,1,0,-47.95365214822327,-50.37468678492192
176,ksqexp,1,8,1.5,0.5,-55.752260530559525,-62.338075566621676
177,ksqexp,1,8,1.5,0.1,-50.018536547782524,-56.96583551029357
178,ksqexp,1,8,1.5,0.05,-50.133055610614264,-56.827443832073
179,ksqexp,1,8,1.5,0.01,-50.1858693829113,-56.785725349933195
180,ksqexp,1,8,1.5,0,-50.1882574646927,-56.784017241691444
181,ksqexp,1,10,0.5,0.5,-43.81301953627985,-49.08213218015768
182,ksqexp,1,10,0.5,0.1,-47.49705176803088,-43.75163337700118
183,ksqexp,1,10,0.5,0.05,-52.75000381593318,-44.62302226866692
184,ksqexp,1,10,0.5,0.01,-55.02412725445135,-45.01847926310801
185,ksqexp,1,10,0.5,0,-55.126905326457816,-45.03651668740447
186,ksqexp,1,10,1,0.5,-50.53758313614272,-56.37810872596334
187,ksqexp,1,10,1,0.1,-46.70438381093351,-50.409865751063464
188,ksqexp,1,10,1,0.05,-47.59283962144104,-50.38479127942062
189,ksqexp,1,10,1,0.01,-47.9460808545952,-50.38925555984443
190,ksqexp,1,10,1,0,-47.96163085212376,-50.38959253206332
191,ksqexp,1,10,1.5,0.5,-55.75933904064322,-62.3481633373847
192,ksqexp,1,10,1.5,0.1,-50.02558886987063,-56.977750143695836
193,ksqexp,1,10,1.5,0.05,-50.14005058653565,-56.83939261746819
194,ksqexp,1,10,1.5,0.01,-50.19284408186951,-56.79768411969972
195,ksqexp,1,10,1.5,0,-50.19523129710603,-56.79597641683108
